time,open,high,low,close,tick_volume,spread,real_volume
2026-01-27 06:34:00,5073.69,5073.69,5072.45,5072.65,438,12,0
2026-01-27 06:35:00,5072.65,5072.65,5069.43,5069.69,503,12,0
2026-01-27 06:36:00,5069.69,5070.03,5068.04,5069.96,478,12,0
2026-01-27 06:37:00,5069.95,5070.53,5069.8,5069.94,405,19,0
2026-01-27 06:38:00,5069.94,5070.13,5067.08,5067.7,942,12,0
2026-01-27 06:39:00,5067.71,5069.62,5067.44,5068.01,680,15,0
2026-01-27 06:40:00,5068.01,5068.73,5064.06,5064.44,957,12,0
2026-01-27 06:41:00,5064.44,5064.84,5062.33,5062.65,893,12,0
2026-01-27 06:42:00,5062.65,5064.24,5061.89,5063.38,994,12,0
2026-01-27 06:43:00,5063.34,5065.36,5062.08,5062.84,887,14,0
2026-01-27 06:44:00,5062.85,5066.52,5061.55,5066.35,848,12,0
2026-01-27 06:45:00,5066.35,5067.4,5065.82,5066.39,775,12,0
2026-01-27 06:46:00,5066.39,5066.4,5064.16,5066.24,521,12,0
2026-01-27 06:47:00,5066.25,5067.07,5063.67,5064.03,461,13,0
2026-01-27 06:48:00,5064.03,5064.65,5063.0,5063.31,420,13,0
2026-01-27 06:49:00,5063.31,5065.44,5062.59,5065.28,447,15,0
2026-01-27 06:50:00,5065.28,5065.76,5064.25,5064.36,383,17,0
2026-01-27 06:51:00,5064.36,5064.64,5062.34,5064.11,563,12,0
2026-01-27 06:52:00,5064.11,5067.47,5064.09,5065.85,633,18,0
2026-01-27 06:53:00,5065.84,5066.33,5064.28,5066.24,855,12,0
2026-01-27 06:54:00,5066.24,5067.47,5066.24,5067.27,660,13,0
2026-01-27 06:55:00,5067.27,5069.11,5067.18,5067.64,644,12,0
2026-01-27 06:56:00,5067.64,5069.51,5067.55,5069.3,489,12,0
2026-01-27 06:57:00,5069.3,5070.85,5068.53,5069.45,701,12,0
2026-01-27 06:58:00,5069.43,5069.69,5066.24,5066.83,678,12,0
2026-01-27 06:59:00,5066.85,5067.99,5066.81,5067.93,476,12,0
2026-01-27 07:00:00,5067.92,5068.44,5066.1,5068.39,638,13,0
2026-01-27 07:01:00,5068.39,5068.76,5063.87,5064.56,740,12,0
2026-01-27 07:02:00,5064.56,5064.95,5061.19,5063.31,658,12,0
2026-01-27 07:03:00,5063.31,5063.35,5061.69,5062.43,509,12,0
2026-01-27 07:04:00,5062.43,5062.51,5060.44,5061.68,673,12,0
2026-01-27 07:05:00,5061.68,5062.85,5060.4,5061.48,819,12,0
2026-01-27 07:06:00,5061.48,5062.5,5060.94,5061.49,696,12,0
2026-01-27 07:07:00,5061.49,5063.53,5060.32,5062.4,591,13,0
2026-01-27 07:08:00,5062.4,5063.43,5061.35,5061.54,496,12,0
2026-01-27 07:09:00,5061.47,5061.53,5058.74,5060.41,813,12,0
2026-01-27 07:10:00,5060.41,5063.18,5059.92,5061.49,577,12,0
2026-01-27 07:11:00,5061.45,5061.75,5057.14,5058.89,1078,12,0
2026-01-27 07:12:00,5058.89,5060.13,5058.21,5058.97,570,14,0
2026-01-27 07:13:00,5058.97,5060.2,5057.95,5059.21,761,13,0
2026-01-27 07:14:00,5059.21,5063.61,5059.06,5063.61,592,12,0
2026-01-27 07:15:00,5063.61,5063.95,5061.25,5062.62,519,12,0
2026-01-27 07:16:00,5062.62,5064.36,5062.34,5062.34,483,12,0
2026-01-27 07:17:00,5062.34,5062.79,5060.02,5062.68,512,12,0
2026-01-27 07:18:00,5062.68,5063.53,5059.24,5059.66,644,12,0
2026-01-27 07:19:00,5059.65,5062.43,5058.25,5060.38,542,12,0
2026-01-27 07:20:00,5060.38,5062.58,5058.63,5062.2,476,12,0
2026-01-27 07:21:00,5062.2,5063.03,5061.11,5062.16,454,12,0
2026-01-27 07:22:00,5062.16,5063.38,5061.26,5063.28,428,12,0
2026-01-27 07:23:00,5063.24,5065.85,5062.63,5065.75,461,12,0
2026-01-27 07:24:00,5065.74,5066.39,5064.66,5066.02,576,12,0
2026-01-27 07:25:00,5066.02,5066.47,5065.36,5066.32,415,14,0
2026-01-27 07:26:00,5066.21,5066.88,5065.92,5065.92,342,12,0
2026-01-27 07:27:00,5065.9,5066.01,5063.42,5064.47,464,12,0
2026-01-27 07:28:00,5064.47,5066.33,5064.47,5064.98,423,12,0
2026-01-27 07:29:00,5064.99,5066.08,5064.34,5064.41,427,12,0
2026-01-27 07:30:00,5064.41,5064.53,5059.84,5063.62,1003,12,0
